INFO  - 24-07-25 00:39:10 [__main__       ] Storing train run in /home/fsvanstijn/scratch/deepdynamicmri-mainV3/-139
INFO  - 24-07-25 00:39:10 [__main__       ] lr: 0.001
INFO  - 24-07-25 00:39:10 [__main__       ] milestones: 3 30 100 180
INFO  - 24-07-25 00:39:10 [__main__       ] gamma: 0.5
INFO  - 24-07-25 00:39:10 [__main__       ] nepoch: 500
INFO  - 24-07-25 00:39:10 [__main__       ] truncate: 4
INFO  - 24-07-25 00:39:10 [__main__       ] print-freq: 1
INFO  - 24-07-25 00:39:10 [__main__       ] checkpoint-freq: 1000
INFO  - 24-07-25 00:39:10 [__main__       ] batch-size: 2
INFO  - 24-07-25 00:39:10 [__main__       ] time-limit: 48
INFO  - 24-07-25 00:39:10 [__main__       ] nfeature: 128
INFO  - 24-07-25 00:39:10 [__main__       ] kernel: 313 None None
INFO  - 24-07-25 00:39:10 [__main__       ] temporal-rnn: on
INFO  - 24-07-25 00:39:10 [__main__       ] ndynamic: 32
INFO  - 24-07-25 00:39:10 [__main__       ] acceleration: 2
INFO  - 24-07-25 00:51:56 [train          ] [1,     158] train loss: 1.490202e+00.
INFO  - 24-07-25 00:51:57 [train          ] [1,     159] train loss: 7.334885e-01.
INFO  - 24-07-25 00:51:58 [train          ] [1,     160] train loss: 6.061735e-01.
INFO  - 24-07-25 00:51:59 [train          ] [1,     161] train loss: 1.116890e+00.
INFO  - 24-07-25 00:52:00 [train          ] [1,     162] train loss: 1.448276e+00.
INFO  - 24-07-25 00:52:00 [train          ] [1,     163] train loss: 8.978164e-01.
INFO  - 24-07-25 00:52:01 [train          ] [1,     164] train loss: 1.199201e+00.
INFO  - 24-07-25 00:52:02 [train          ] [1,     165] train loss: 1.290680e+00.
INFO  - 24-07-25 00:52:03 [train          ] [1,     166] train loss: 2.147035e+00.
INFO  - 24-07-25 00:52:04 [train          ] [1,     167] train loss: 1.662801e+00.
INFO  - 24-07-25 00:52:05 [train          ] [1,     168] train loss: 1.314610e+00.
INFO  - 24-07-25 00:52:06 [train          ] [1,     169] train loss: 1.060043e+00.
INFO  - 24-07-25 00:52:06 [train          ] [1,     170] train loss: 9.954513e-01.
INFO  - 24-07-25 00:52:07 [train          ] [1,     171] train loss: 6.965494e-01.
INFO  - 24-07-25 00:52:08 [train          ] [1,     172] train loss: 1.219897e+00.
INFO  - 24-07-25 00:52:09 [train          ] [1,     173] train loss: 8.822293e-01.
INFO  - 24-07-25 00:52:10 [train          ] [1,     174] train loss: 8.849982e-01.
INFO  - 24-07-25 00:52:11 [train          ] [1,     175] train loss: 6.091294e-01.
INFO  - 24-07-25 00:52:11 [train          ] [1,     176] train loss: 8.814154e-01.
